,id,followers,genres,name,popularity
144521,69GGBxA162lTqCwzJG5jLp,17734996.0,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",The Chainsmokers,85
142075,2ye2Wgw4gimLv2eAKyk1NB,17497379.0,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",Metallica,85
144141,2R21vXR83lH98kGeO99Y66,17083706.0,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']",Anuel AA,92
144497,2YZyLoL8N0Wb9xBt1NhZWg,17065065.0,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",Kendrick Lamar,89
182102,1HY2Jd0NmPuamShAr6KMms,17047864.0,"['dance pop', 'pop', 'post-teen pop']",Lady Gaga,89
115490,4MCBfE4596Uoi2O4DtmEMz,16996777.0,"['chicago rap', 'melodic rap']",Juice WRLD,96
144151,2wY79sveU1sp5g7SokKOiI,16141960.0,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",Sam Smith,88
313813,0Y5tJX1MQlPlqiwlOH1tJY,16118616.0,"['rap', 'slap house']",Travis Scott,94
122094,790FomKkXshlbRYZFtlgla,15941533.0,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",KAROL G,89
143814,0L8ExT028jH3ddEcZwqJJ5,15797256.0,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",Red Hot Chili Peppers,85
116953,4kYSro6naA4h99UJvo89HB,15762250.0,"['pop', 'pop rap', 'post-teen pop', 'rap']",Cardi B,90
123645,5ZsFI1h6hIdQRw2ti0hz81,15390470.0,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",ZAYN,84
111706,07YUOmWljBTXwIseAUd9TW,15150418.0,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']",Sebastian Yatra,85
126341,5YGY8feqx7naU7z4HrwZM6,14779387.0,"['dance pop', 'pop', 'post-teen pop']",Miley Cyrus,88
144500,26VFTg2z8YR0cCuwLzESi2,14626427.0,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",Halsey,89
